match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match
25,2023,2023-04-24,Delhi,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,normal,41,K Yadav
26,2023,2023-04-25,Bangalore,M.Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,normal,24,S Yadav
27,2023,2023-04-26,Mumbai,Wankhede Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,normal,8,S Narine
28,2023,2023-04-27,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,normal,14,I Kishan
29,2023,2023-04-28,Kolkata,Eden Gardens,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Punjab Kings,normal,5,L Livingstone
30,2023,2023-04-29,Mumbai,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Punjab Kings,normal,26,S Curran
31,2023,2023-04-30,Chennai,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,normal,40,D Warner
32,2023,2023-05-01,Mumbai,Wankhede Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,normal,29,R Gaikwad
33,2023,2023-05-02,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,normal,48,J Buttler
34,2023,2023-05-03,Bangalore,M.Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,normal,38,B Kumar
35,2023,2023-05-04,Kolkata,Eden Gardens,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,normal,38,I Kishan
36,2023,2023-05-05,Mumbai,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,normal,37,F du Plessis
37,2023,2023-05-06,Kolkata,Eden Gardens,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,normal,45,R Sharma
38,2023,2023-05-07,Kolkata,Eden Gardens,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,normal,6,S Dhawan
39,2023,2023-05-08,Delhi,Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,normal,10,T Natarajan
40,2023,2023-05-09,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,normal,42,Y Jaiswal
41,2023,2023-05-10,Delhi,Arun Jaitley Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,normal,44,V Kohli
42,2023,2023-05-11,Chennai,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,normal,43,J Bumrah
43,2023,2023-05-12,Bangalore,M.Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,normal,47,MS Dhoni
44,2023,2023-05-13,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,normal,22,S Samson
45,2023,2023-05-14,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,normal,35,L Livingstone
46,2023,2023-05-15,Mumbai,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Delhi Capitals,normal,27,R Pant
47,2023,2023-05-16,Bangalore,M.Chinnaswamy Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,normal,9,Y Chahal
48,2023,2023-05-17,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,normal,1,S Narine
49,2023,2023-05-18,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,normal,22,D Warner
50,2023,2023-05-19,Kolkata,Eden Gardens,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,normal,33,A Singh
